local,oaci,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,fir,uso,trafico,sna,concesionado,provincia,inhab
HTS,SIN_CODIGO,SIN_CODIGO,helipuerto,EL TURBIO/EA. SANTA ANA,"51°41' 9""S  71°58' 4""W",-51.68583333333333,-71.96777777777778,665.0,Metros,El Turbio,9.5,E,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
HUE,SIN_CODIGO,SIN_CODIGO,aeródromo,CARHUÉ,"37°11'38""S  62°46'53""W",-37.193888888888885,-62.78138888888889,110.0,Metros,Carhué,1.5,SO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HUG,SIN_CODIGO,SIN_CODIGO,aeródromo,HUANGUELÉN,"37° 3'10""S  61°57'12""W",-37.05277777777778,-61.95333333333333,158.0,Metros,Huanguelén,2.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HUI,SIN_CODIGO,SIN_CODIGO,aeródromo,HUINCA RENANCÓ,"34°49'13""S  64°22'27""W",-34.82027777777778,-64.37416666666665,180.0,Metros,Huinca Renancó,2.0,N,PUBLICO,NOCONTROL,RACE,SACF,civil,Nacional,NO,NO,Córdoba,NO
HUM,SIN_CODIGO,SIN_CODIGO,aeródromo,HUMBOLDT/ESTABLECIMIENTO LA ADELITA,"31°23'23""S  61° 8'33""W",-31.389722222222222,-61.1425,50.0,Metros,Humboldt,5.5,O,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
HUP,SIN_CODIGO,SIN_CODIGO,helipuerto,GENERAL ALVEAR/UNIDAD PENITENCIARIA N° 30,"36° 2'40""S  60° 1' 0""W",-36.044444444444444,-60.016666666666666,55.0,Metros,General Alvear,2.5,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HUU,SIN_CODIGO,SIN_CODIGO,helipuerto,HELIPUERTO SATURNINO UNZUÉ,"35°25'24""S  60° 9'34""W",-35.42333333333333,-60.159444444444446,50.0,Metros,Estación FFCC,8.0,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HVA,SIN_CODIGO,SIN_CODIGO,helipuerto,TIGRE/VILLA LA ÑATA,"34°22'31""S  58°39'21""W",-34.375277777777775,-58.655833333333334,3.0,Metros,Estación FFCC Tigre,8.6,NO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HVM,SIN_CODIGO,SIN_CODIGO,helipuerto,VILLA MARTELLI/CITEFA,"34°33'28""S  58°30'20""W",-34.55777777777777,-58.50555555555555,17.0,Metros,"Zufriategui,Mansi y Gral. Paz",0.0,Lindando,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
HWG,SIN_CODIGO,SIN_CODIGO,helipuerto,BUQUE W. G. VESPUCCI,"52°53'60""S  66°49' 0""W",-52.9,-66.81666666666666,28.0,Metros,25 de Mayo 555 Piso 19-20 CABA,0.0,,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Tierra Del Fuego Antártida E Islas Del Atlántico Sur,NO
HYC,SIN_CODIGO,SIN_CODIGO,helipuerto,YACANTO DE CALAMUCHITA/ROCA VAL,"32° 3'35""S  64°46'49""W",-32.05972222222222,-64.78027777777778,1050.0,Metros,Villa Yacanto,3.0,NNO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
HZA,SIN_CODIGO,SIN_CODIGO,aeródromo,MAIPÚ/ESTABLECIMIENTO EL ARAZA,"36°46'33""S  57°38'34""W",-36.77583333333333,-57.64277777777778,93.0,Metros,Estación Santo Domingo,8.5,SE,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
IAA,SIN_CODIGO,SIN_CODIGO,aeródromo,INTENDENTE ALVEAR/AZCARATE IRATORSA,"35°11'19""S  63°36'38""W",-35.18861111111111,-63.61055555555556,127.0,Metros,Intendente Alvear,5.0,NNO,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,La Pampa,NO
IAC,SASQ,SIN_CODIGO,aeródromo,LA QUIACA/DR. GUILLERMO EUGENIO SNOPEK,"22° 9'43""S  65°34'19""W",-22.161944444444444,-65.57194444444444,3480.0,Metros,La Quiaca,6.0,SE,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Jujuy,NO
IAL,SIN_CODIGO,SIN_CODIGO,aeródromo,INTENDENTE ALVEAR,"35°14' 1""S  63°33'57""W",-35.23361111111111,-63.56583333333333,127.0,Metros,Intendente Alvear,2.5,E,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
IBA,SIN_CODIGO,SIN_CODIGO,aeródromo,INES INDART/BELINGUERES AVIACIÓN,"34°16'40""S  60°30'16""W",-34.27777777777778,-60.504444444444445,63.7,Metros,Salto,14.0,NNE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
IBY,SIN_CODIGO,SIN_CODIGO,aeródromo,ISLAS DEL IBICUY,"33°44'38""S  58°40'52""W",-33.74388888888889,-58.68111111111111,6.0,Metros,Islas de Ibicuy,3.0,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
ICO,SIN_CODIGO,SIN_CODIGO,aeródromo,COMODORO RIVADAVIA/13 DE DICIEMBRE,"45°54'15""S  67°33'32""W",-45.90416666666667,-67.55888888888889,52.0,Metros,Comodoro Rivadavia,8.0,SSO,PUBLICO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Chubut,NO
IGL,SIN_CODIGO,SIN_CODIGO,aeródromo,INGENIERO LUIGGI,"35°21'20""S  64°28'31""W",-35.355555555555554,-64.47527777777778,193.0,Metros,Ingeniero Luiggi,2.0,N,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
IGU,SARI,IGR,aeródromo,CATARATAS DEL  IGUAZÚ/MY. D. CARLOS EDUARDO KRAUSE,"25°44'14""S  54°28'25""W",-25.737222222222222,-54.47361111111111,279.0,Metros,Cataratas del Iguazú,18.0,SSE,PUBLICO,CONTROL,RANE,SARR,civil,Internacional,SI,SI,Misiones,NO
IJC,SAVJ,IGB,aeródromo,INGENIERO JACOBACCI/CABO F.A.A. H. R. BORDÓN,"41°19'16""S  69°34'34""W",-41.321111111111115,-69.5761111111111,892.0,Metros,Ingeniero Jacobacci,2.5,ONO,PUBLICO,AERADIO,RASU,SAEF,civil,Nacional,NO,NO,Río Negro,NO
ILD,SIN_CODIGO,SIN_CODIGO,aeródromo,CASILDA,"33° 3'45""S  61°12'35""W",-33.0625,-61.209722222222226,77.0,Metros,Casilda,3.0,ONO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
ILM,SADQ,SIN_CODIGO,aeródromo,QUILMES,"34°42'23""S  58°14'41""W",-34.70638888888889,-58.24472222222222,2.0,Metros,Quilmes,2.0,ENE,PRIVADO,AERADIO,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
IRA,SAEM,SIN_CODIGO,aeródromo,MIRAMAR,"38°13'34""S  57°52'15""W",-38.226111111111116,-57.87083333333334,13.0,Metros,Miramar,4.0,NO,PUBLICO,AERADIO,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
IRI,SATI,SIN_CODIGO,aeródromo,BERNARDO DE IRIGOYEN,"26°16'54""S  53°40'21""W",-26.281666666666666,-53.6725,815.0,Metros,Bernardo de Irigoyen,4.0,SO,PUBLICO,AERADIO,RANE,SARR,civil,Nacional,NO,NO,Misiones,NO
ITO,SANO,SIN_CODIGO,aeródromo,CHILECITO/BRIG. MY. JUAN FACUNDO QUIROGA,"29°13'24""S  67°26'22""W",-29.223333333333333,-67.43944444444445,945.0,Metros,Chilecito,7.2,SE,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,La Rioja,NO
IVB,SIN_CODIGO,SIN_CODIGO,aeródromo,ISLA VERDE/D. HÉCTOR BIONDI,"33°14'48""S  62°24'55""W",-33.24666666666667,-62.415277777777774,118.0,Metros,Isla Verde,1.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Córdoba,NO
IVL,SIN_CODIGO,SIN_CODIGO,aeródromo,ISLA VERDE/BIONDI,"33°13'24""S  62°24'17""W",-33.223333333333336,-62.40472222222222,119.0,Metros,Isla Verde,2.0,NNE,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Córdoba,NO
JAH,SIN_CODIGO,SIN_CODIGO,aeródromo,JUNÍN DE LOS ANDES/HOSTERIA SAN HUBERTO,"39°42'14""S  71°10'12""W",-39.70388888888889,-71.17,691.0,Metros,Junín de los Andes,22.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
JAR,SIN_CODIGO,SIN_CODIGO,aeródromo,JACINTO ARAUZ,"38° 3'58""S  63°25'44""W",-38.066111111111105,-63.428888888888885,160.0,Metros,Jacinto Arauz,1.0,N,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
JBA,SIN_CODIGO,SIN_CODIGO,aeródromo,JUAN BAUTISTA ALBERDI,"34°29' 1""S  61°54'16""W",-34.48361111111111,-61.904444444444444,102.0,Metros,Juan Bautista Alberdi,10.0,SO,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
JCM,SIN_CODIGO,SIN_CODIGO,aeródromo,JUÁREZ CELMAN/BRIG. MY. JUAN IGNACIO SAN MARTÍN,"31°12'40""S  64° 9'38""W",-31.211111111111112,-64.16055555555556,495.0,Metros,Juárez Celman,20.0,N,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
JDA,SIN_CODIGO,SIN_CODIGO,aeródromo,JARDÍN DE AMÉRICA,"27° 1'57""S  55°11'53""W",-27.0325,-55.198055555555555,205.0,Metros,Jardín América,3.0,ENE,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Misiones,NO
JES,SIN_CODIGO,SIN_CODIGO,aeródromo,JESÚS MARÍA,"30°59'18""S  64° 4'41""W",-30.988333333333333,-64.07805555555555,530.0,Metros,Jesús Maria,1.8,ESE,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
JGA,SIN_CODIGO,SIN_CODIGO,aeródromo,JOAQUIN V. GONZALEZ/AGROPECUARIA RÍO JURAMENTO,"25°11'12""S  64° 4'53""W",-25.186666666666667,-64.08138888888888,1184.0,Metros,Salta,8.0,SE,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Salta,NO
JLA,SIN_CODIGO,SIN_CODIGO,aeródromo,JUNÍN DE LOS ANDES/SAN IGNACIO,"39°50'44""S  70°51'55""W",-39.845555555555556,-70.86527777777778,691.0,Metros,Junín de los Andes,22.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
JMB,SIN_CODIGO,SIN_CODIGO,aeródromo,TRES LOMAS,"36°26'35""S  62°52'45""W",-36.44305555555555,-62.87916666666667,116.0,Metros,Tres Lomas,2.0,NO,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
JOC,SIN_CODIGO,SIN_CODIGO,aeródromo,JOVITA/ANTARES,"34°31'55""S  63°57'38""W",-34.53194444444444,-63.96055555555556,154.0,Metros,Jovita,2.0,SO,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Córdoba,NO
JOR,SIN_CODIGO,SIN_CODIGO,aeródromo,SAN JORGE,"31°52'58""S  61°50'36""W",-31.88277777777778,-61.843333333333334,106.0,Metros,San Jorge,2.5,NE,PUBLICO,NOCONTROL,RANO,SACF,desconocido,Nacional,NO,NO,Santa Fé,NO
JRZ,SAZJ,SIN_CODIGO,aeródromo,JUÁREZ,"37°42'22""S  59°47'31""W",-37.70611111111111,-59.79194444444444,212.0,Metros,Benito Juárez,3.0,SSO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
JSM,SAWS,JSM,aeródromo,JOSÉ DE SAN MARTÍN,"44° 2'50""S  70°26'47""W",-44.04722222222222,-70.44638888888889,734.0,Metros,José de San Martín,0.0,Lindando,PUBLICO,AERADIO,RASU,SAVF,civil,Nacional,NO,NO,Chubut,NO
JUA,SANU,UAQ,aeródromo,SAN JUAN/DOMINGO FAUSTINO SARMIENTO,"31°34'17""S  68°25' 6""W",-31.57138888888889,-68.41833333333334,597.0,Metros,San Juan,12.0,SE,PUBLICO,CONTROL,RANO,SAMF,desconocido,Nacional,SI,SI,San Juan,NO
JUJ,SASJ,JUJ,aeródromo,JUJUY/GOBERNADOR GUZMÁN,"24°23'33""S  65° 5'52""W",-24.3925,-65.09777777777778,920.0,Metros,San Salvador de Jujuy,33.0,SE,PUBLICO,CONTROL,RANO,SACF,civil,Internacional,SI,SI,Jujuy,NO
LAE,SIN_CODIGO,SIN_CODIGO,aeródromo,PUNTA ROJA/EA. LA ELBA,"44°34'22""S  65°22'14""W",-44.57277777777778,-65.37055555555555,14.0,Metros,Camarones,37.0,NE,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Chubut,NO
LAM,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL LAMADRID,"37°13'34""S  61°16'44""W",-37.226111111111116,-61.278888888888886,171.0,Metros,General La Madrid,3.0,NO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
LAN,SIN_CODIGO,SIN_CODIGO,aeródromo,LANTERI,"28°51'27""S  59°40'22""W",-28.8575,-59.672777777777775,56.0,Metros,Lanteri,3.5,SO,PRIVADO,NOCONTROL,RANE,SARR,aeroapp,Nacional,NO,NO,Santa Fé,NO
LAR,SANL,IRJ,aeródromo,LA RIOJA/CAP. VICENTE A. ALMONACID,"29°22'50""S  66°47'45""W",-29.380555555555556,-66.79583333333333,438.0,Metros,La Rioja,7.0,NE,PUBLICO,CONTROL,RANO,SACF,civil,Nacional,SI,SI,La Rioja,NO
LAU,SIN_CODIGO,SIN_CODIGO,aeródromo,TRENQUE LAUQUEN,"36° 0'57""S  62°41'38""W",-36.01583333333333,-62.693888888888885,99.0,Metros,Trenque Lauquen,4.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LAZ,SIN_CODIGO,SIN_CODIGO,aeródromo,LA PAZ/AEROCLUB,"30°44'37""S  59°34' 8""W",-30.74361111111111,-59.56888888888889,61.0,Metros,La Paz,6.0,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
LBI,SIN_CODIGO,SIN_CODIGO,aeródromo,LOBERIA,"38°11'22""S  58°47'14""W",-38.18944444444444,-58.78722222222222,81.0,Metros,Lobería,2.5,S,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LCC,SIN_CODIGO,SIN_CODIGO,aeródromo,LA CARLOTA/CASAJUS,"33°23'18""S  63°18'20""W",-33.388333333333335,-63.30555555555555,143.0,Metros,La Carlota,3.5,NNO,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Córdoba,NO
LCP,SIN_CODIGO,SIN_CODIGO,aeródromo,LONCOPUÉ,"38° 4'54""S  70°38'39""W",-38.08166666666667,-70.64416666666668,1106.0,Metros,Loncopué,3.0,OSO,PUBLICO,NOCONTROL,RACE,SAMF,desconocido,Nacional,NO,NO,Neuquén,NO
LCT,SIN_CODIGO,SIN_CODIGO,aeródromo,LA CARLOTA,"33°27'27""S  63°18'49""W",-33.4575,-63.31361111111111,154.0,Metros,La Carlota,4.0,S,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
LDA,SIN_CODIGO,SIN_CODIGO,aeródromo,LEZAMA/DON ALBERTO,"35°52'11""S  57°52'36""W",-35.86972222222222,-57.876666666666665,8.0,Metros,Manuel J. Cobo,2.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
LDG,SIN_CODIGO,SIN_CODIGO,aeródromo,LAGUNA DE GÓMEZ,"34°39'17""S  61° 0'33""W",-34.65472222222222,-61.009166666666665,80.0,Metros,Junín,11.0,SSO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
LDR,SAOD,VDR,aeródromo,VILLA DOLORES,"31°56'51""S  65° 8'51""W",-31.9475,-65.14750000000001,563.0,Metros,Cordoba,0.0,Lindando,PUBLICO,AERADIO,RANO,SACF,desconocido,Nacional,NO,NO,Córdoba,NO
LEN,SIN_CODIGO,SIN_CODIGO,aeródromo,BELÉN DE ESCOBAR,"34°17'55""S  58°47'56""W",-34.29861111111111,-58.79888888888889,4.0,Metros,Belén de Escobar,0.0,S,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
LEO,SIN_CODIGO,SIN_CODIGO,aeródromo,LEONES,"32°38'34""S  62°19' 1""W",-32.64277777777778,-62.316944444444445,114.0,Metros,Leones,3.0,NO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
LGM,SAVM,SIN_CODIGO,aeródromo,SARMIENTO/LAGO MUSTERS,"45°34'30""S  69° 4'38""W",-45.575,-69.07722222222222,27.0,Metros,Sarmiento,0.0,N,PRIVADO,NOCONTROL,RASU,SAVF,desconocido,Nacional,NO,NO,Chubut,NO
LHP,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS HERAS/LOS PERALES,"46°11'31""S  69°17'13""W",-46.19194444444444,-69.28694444444444,426.0,Metros,Las Heras,47.0,NO,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
LIB,SARL,AOL,aeródromo,PASO DE LOS LIBRES,"29°41'17""S  57° 9' 8""W",-29.688055555555557,-57.15222222222222,70.0,Metros,Paso de los Libres,6.0,NO,PUBLICO,CONTROL,RANE,SARR,desconocido,Internacional,SI,NO,Corrientes,NO
LIN,SIN_CODIGO,SIN_CODIGO,aeródromo,LINCOLN,"34°53'27""S  61°31'53""W",-34.89083333333333,-61.53138888888889,85.0,Metros,Lincoln,3.0,S,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LIO,SAZX,SIN_CODIGO,aeródromo,NUEVE DE JULIO,"35°23'58""S  60°55'60""W",-35.39944444444444,-60.93333333333333,75.0,Metros,9 de Julio,5.0,NO,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LJN,SIN_CODIGO,SIN_CODIGO,aeródromo,LUJÁN,"34°33' 2""S  59° 4'45""W",-34.550555555555555,-59.07916666666667,25.0,Metros,Luján,2.0,ENE,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LLA,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS LAJITAS/AEROSOLUCIONES,"24°44'56""S  64°14' 6""W",-24.74888888888889,-64.235,492.0,Metros,Las Lajitas,4.0,OSO,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Salta,NO
LLC,SIN_CODIGO,SIN_CODIGO,aeródromo,LONGCHAMPS/LA CAÍDA,"34°51'45""S  58°20'41""W",-34.862500000000004,-58.344722222222224,28.0,Metros,Longchamps,4.0,E,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LLE,SIN_CODIGO,SIN_CODIGO,aeródromo,LIBERTAD/LA ESMERALDA,"29°59'42""S  57°50'18""W",-29.995,-57.83833333333334,81.0,Metros,Libertad,8.0,NNO,PRIVADO,NOCONTROL,RANE,SARR,desconocido,Nacional,NO,NO,Corrientes,NO
LLJ,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS LAJAS,"38°32'18""S  70°20'12""W",-38.538333333333334,-70.33666666666666,850.0,Metros,Las Lajas,3.0,SE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Neuquén,NO
LMD,SIN_CODIGO,SIN_CODIGO,aeródromo,JUAN N. FERNÁNDEZ/LA MADRUGADA,"38° 0'30""S  59°20'60""W",-38.00833333333333,-59.35,137.0,Metros,Juan N. Fernández,7.0,O,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
LMF,SIN_CODIGO,SIN_CODIGO,aeródromo,LOS MOLINOS/ESTABLECIMIENTO LA FLORENCIA,"33° 4'45""S  61°18'59""W",-33.07916666666667,-61.31638888888889,75.0,Metros,Los Molinos,3.0,NNE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
LNH,SIN_CODIGO,SIN_CODIGO,aeródromo,LAGO NAHUEL HUAPI,"41° 5'50""S  71°10'36""W",-41.09722222222222,-71.17666666666668,780.0,Metros,San Carlos de Bariloche,11.0,ENE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Río Negro,NO
LNV,SIN_CODIGO,SIN_CODIGO,aeródromo,LINCOLN/LA NUEVA,"34°56'41""S  61°18' 8""W",-34.94472222222222,-61.30222222222222,75.0,Metros,Lincoln,22.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LPB,SIN_CODIGO,SIN_CODIGO,aeródromo,COMANDANTE LUIS PIEDRABUENA,"49°59'42""S  68°56'59""W",-49.995,-68.94972222222222,24.0,Metros,Comandante Luis Piedrabuena,3.5,SSO,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
LPP,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS PALMAS/PETRUK,"27° 5'16""S  58°40'10""W",-27.087777777777777,-58.669444444444444,54.0,Metros,Las Palmas,4.0,SSE,PRIVADO,NOCONTROL,RANE,SARR,aeroapp,Nacional,NO,NO,Chaco,NO
LPR,SIN_CODIGO,SIN_CODIGO,aeródromo,LAPRIDA,"37°31'15""S  60°46'42""W",-37.520833333333336,-60.77833333333333,210.0,Metros,Laprida,2.0,NE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
LRE,SIN_CODIGO,SIN_CODIGO,aeródromo,LA RAMADA DE ABAJO/DON EMILIO,"26°43'58""S  64°53' 5""W",-26.732777777777777,-64.88472222222222,530.0,Metros,La Ramada,5.0,SE,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Tucumán,NO
LRS,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS ROSAS,"32°29'35""S  61°34'54""W",-32.49305555555556,-61.58166666666667,102.0,Metros,Las Rosas,1.0,S,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
LRT,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS ROSAS/HORIZONTE APLICACIONES AÉREAS,"32°31'13""S  61°33' 3""W",-32.52027777777778,-61.55083333333333,98.0,Metros,Las Rosas,6.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
LVA,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS VARAS/MACIAS,"31°49' 2""S  62°37'49""W",-31.81722222222222,-62.63027777777778,126.0,Metros,Las Varas,2.0,SO,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Córdoba,NO
LVL,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS VARILLAS,"31°53'30""S  62°42'17""W",-31.891666666666666,-62.70472222222222,135.0,Metros,Las Varillas,2.0,SE,PRIVADO,NOCONTROL,RANO,SACF,desconocido,Nacional,NO,NO,Córdoba,NO
LVM,SIN_CODIGO,SIN_CODIGO,aeródromo,LUJÁN/EA. VILLA MARÍA,"34°38'37""S  59° 7'38""W",-34.64361111111111,-59.12722222222222,32.0,Metros,Luján,9.0,S,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
LVR,SIN_CODIGO,SIN_CODIGO,aeródromo,LAS VARILLAS/GINEVRO,"31°51'29""S  62°50'40""W",-31.858055555555556,-62.84444444444445,145.0,Metros,Las Varillas,12.0,O,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Córdoba,NO
LYE,SAOL,SIN_CODIGO,aeródromo,LABOULAYE,"34° 8' 8""S  63°21'45""W",-34.135555555555555,-63.362500000000004,137.0,Metros,Laboulaye,2.7,E,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Córdoba,NO
LZA,SIN_CODIGO,SIN_CODIGO,aeródromo,LAGO LA ESPERANZA,"42°13' 2""S  71°48'19""W",-42.217222222222226,-71.80527777777777,560.0,Metros,Lago Puelo,24.0,SO,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Chubut,NO
MAB,SIN_CODIGO,SIN_CODIGO,aeródromo,MAGGIOLO/SAMAVE,"33°47'11""S  62° 7'41""W",-33.78638888888889,-62.128055555555555,109.0,Metros,Maggiolo,13.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
MAC,SIN_CODIGO,SIN_CODIGO,aeródromo,MACACHIN,"37° 8'45""S  63°40'44""W",-37.145833333333336,-63.678888888888885,140.0,Metros,Macachín,0.0,SO,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,La Pampa,NO
MAD,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL MADARIAGA,"37° 2'19""S  57° 8'11""W",-37.03861111111111,-57.13638888888889,7.0,Metros,General Juan Madariaga,4.0,S,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
MAI,SIN_CODIGO,SIN_CODIGO,aeródromo,MONTE MAIZ,"33°12'40""S  62°37'52""W",-33.211111111111116,-62.63111111111111,113.0,Metros,Monte Maiz,2.0,O,PUBLICO,NOCONTROL,RANO,SACF,desconocido,Nacional,NO,NO,Córdoba,NO
MAO,SIN_CODIGO,SIN_CODIGO,aeródromo,VEINTICINCO DE MAYO,"37°48'35""S  67°39'34""W",-37.80972222222222,-67.65944444444445,347.0,Metros,25 de Mayo,7.5,ESE,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
MAQ,SAVQ,MQD,aeródromo,MAQUINCHAO,"41°14'34""S  68°42'30""W",-41.24277777777778,-68.70833333333334,880.0,Metros,Maquinchao,0.0,NE,PUBLICO,NOCONTROL,RASU,SAVF,desconocido,Nacional,NO,NO,Río Negro,NO
MAT,SADZ,SIN_CODIGO,aeródromo,MATANZA,"34°43'42""S  58°30' 2""W",-34.72833333333333,-58.50055555555556,3.0,Metros,La Matanza,3.0,NNE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
